# port,duration,pkt_size,rate,mbps,mpps,loss
2,60,512,48.0000,11493.8417,2.8282,0.0572
3,60,512,48.0000,11252.7556,2.7689,2.0918
0,60,512,49.0000,6180.4294,1.5208,46.4108
1,60,512,49.0000,5945.0922,1.4629,48.4560
2,60,512,49.0000,11528.9287,2.8368,0.1291
3,60,512,49.0000,11061.1287,2.7217,4.1297
0,60,1024,1.0000,245.4267,0.0301,0.0000
1,60,1024,1.0000,245.4267,0.0301,0.0000
2,60,1024,1.0000,245.4271,0.0301,0.0000
3,60,1024,1.0000,245.4271,0.0301,0.0000
0,60,1024,2.0000,490.8447,0.0602,0.0000
1,60,1024,2.0000,490.8447,0.0602,0.0000
2,60,1024,2.0000,490.8451,0.0602,0.0000
3,60,1024,2.0000,490.8451,0.0602,0.0000
0,60,1024,3.0000,723.9726,0.0887,0.0000
1,60,1024,3.0000,723.9726,0.0887,0.0000
2,60,1024,3.0000,723.9731,0.0887,0.0000
3,60,1024,3.0000,723.9731,0.0887,0.0000
0,60,1024,4.0000,981.6720,0.1203,0.0000
1,60,1024,4.0000,981.6807,0.1203,0.0000
2,60,1024,4.0000,981.6810,0.1203,0.0000
3,60,1024,4.0000,981.6810,0.1203,0.0000
0,60,1024,5.0000,1227.0899,0.1504,0.0000
1,60,1024,5.0000,1227.0812,0.1504,0.0000
2,60,1024,5.0000,1227.0816,0.1504,0.0000
3,60,1024,5.0000,1227.0816,0.1504,0.0000
0,60,1024,6.0000,1447.9452,0.1774,0.0000
1,60,1024,6.0000,1447.9452,0.1774,0.0000
2,60,1024,6.0000,1447.7802,0.1774,0.0000
3,60,1024,6.0000,1447.9456,0.1774,0.0000
0,60,1024,7.0000,1717.8911,0.2105,0.0000
1,60,1024,7.0000,1717.8824,0.2105,0.0000
2,60,1024,7.0000,1717.9001,0.2105,0.0000
3,60,1024,7.0000,1717.8914,0.2105,0.0000
0,60,1024,8.0000,1963.3091,0.2406,0.0000
1,60,1024,8.0000,1963.0575,0.2406,0.0128
2,60,1024,8.0000,1963.3095,0.2406,0.0000
3,60,1024,8.0000,1963.3136,0.2406,0.0002
0,60,1024,9.0000,2171.8743,0.2662,0.0000
1,60,1024,9.0000,2171.8482,0.2662,0.0000
2,60,1024,9.0000,2171.8749,0.2662,0.0000
3,60,1024,9.0000,2171.8749,0.2662,0.0000
0,60,1024,10.0000,2454.1886,0.3008,0.0000
1,60,1024,10.0000,2454.1697,0.3008,0.0008
2,60,1024,10.0000,2454.1570,0.3008,0.0013
3,60,1024,10.0000,2454.1976,0.3008,0.0000
0,60,1024,11.0000,2699.5195,0.3308,0.0000
1,60,1024,11.0000,2699.5108,0.3308,0.0000
2,60,1024,11.0000,2699.4494,0.3308,0.0026
3,60,1024,11.0000,2699.5199,0.3308,0.0000
0,60,1024,12.0000,2895.6641,0.3549,0.0000
1,60,1024,12.0000,2895.6729,0.3549,0.0000
2,60,1024,12.0000,2895.6468,0.3549,0.0012
3,60,1024,12.0000,2895.6187,0.3549,0.0019
0,60,1024,13.0000,3190.2661,0.3910,0.0022
1,60,1024,13.0000,3190.3631,0.3910,0.0000
2,60,1024,13.0000,3190.3645,0.3910,0.0000
3,60,1024,13.0000,3190.2903,0.3910,0.0023
0,60,1024,14.0000,3435.2942,0.4210,0.0096
1,60,1024,14.0000,3435.6006,0.4210,0.0012
2,60,1024,14.0000,3435.6433,0.4210,0.0000
3,60,1024,14.0000,3435.6520,0.4210,0.0000
0,60,1024,15.0000,3619.3147,0.4435,0.0000
1,60,1024,15.0000,3619.3269,0.4435,0.0001
2,60,1024,15.0000,3619.3587,0.4435,0.0000
3,60,1024,15.0000,3619.3265,0.4435,0.0001
0,60,1024,16.0000,3926.2484,0.4812,0.0032
1,60,1024,16.0000,3925.7029,0.4811,0.0175
2,60,1024,16.0000,3926.3922,0.4812,0.0000
3,60,1024,16.0000,3926.3394,0.4812,0.0011
0,60,1024,17.0000,4171.7399,0.5112,0.0004
1,60,1024,17.0000,4171.6610,0.5112,0.0031
2,60,1024,17.0000,4171.7341,0.5112,0.0014
3,60,1024,17.0000,4171.7928,0.5112,0.0000
0,60,1024,18.0000,4343.2430,0.5323,0.0054
1,60,1024,18.0000,4342.7993,0.5322,0.0156
2,60,1024,18.0000,4343.3253,0.5323,0.0039
3,60,1024,18.0000,4343.4256,0.5323,0.0014
0,60,1024,19.0000,4662.0444,0.5713,0.0052
1,60,1024,19.0000,4661.8947,0.5713,0.0088
2,60,1024,19.0000,4661.6269,0.5713,0.0147
