port,duration,pkt_size,rate,mbps,mpps,loss
2,60,512,31.0000,862.8411,1.7976,0.0287
3,60,512,31.0000,862.9143,1.7977,0.0202
0,60,512,32.0000,410.7413,0.8557,54.6280
1,60,512,32.0000,461.5570,0.9616,49.0153
2,60,512,32.0000,905.6969,1.8869,0.0154
3,60,512,32.0000,905.7087,1.8869,0.0139
0,60,512,33.0000,437.3294,0.9111,53.1482
1,60,512,33.0000,458.7702,0.9558,50.8525
2,60,512,33.0000,933.8888,1.9456,0.0191
3,60,512,33.0000,933.6530,1.9451,0.0444
0,60,512,34.0000,435.7798,0.9079,53.9387
1,60,512,34.0000,469.2142,0.9775,50.4061
2,60,512,34.0000,946.0826,1.9710,0.0504
3,60,512,34.0000,946.2700,1.9714,0.0303
0,60,512,35.0000,453.3876,0.9446,54.2267
1,60,512,35.0000,475.8518,0.9914,51.9606
2,60,512,35.0000,990.2906,2.0631,0.0478
3,60,512,35.0000,990.4728,2.0635,0.0291
0,60,512,36.0000,462.0631,0.9626,54.6161
1,60,512,36.0000,484.4572,1.0093,52.4190
2,60,512,36.0000,1017.6838,2.1202,0.0566
3,60,512,36.0000,1017.8561,2.1205,0.0395
0,60,512,37.0000,442.9292,0.9228,56.9915
1,60,512,37.0000,504.1807,1.0504,51.0476
2,60,512,37.0000,1028.7862,2.1433,0.0724
3,60,512,37.0000,1029.1026,2.1440,0.0417
0,60,512,38.0000,463.4576,0.9655,56.9132
1,60,512,38.0000,521.8400,1.0872,51.4869
2,60,512,38.0000,1074.1381,2.2378,0.0746
3,60,512,38.0000,1074.1066,2.2377,0.0774
0,60,512,39.0000,476.8308,0.9934,56.8022
1,60,512,39.0000,535.7586,1.1162,51.4652
2,60,512,39.0000,1101.4966,2.2948,0.1059
3,60,512,39.0000,1101.9362,2.2957,0.0660
0,60,512,40.0000,470.6399,0.9805,57.7126
1,60,512,40.0000,537.4804,1.1198,51.7073
2,60,512,40.0000,1110.8435,2.3143,0.0735
3,60,512,40.0000,1110.8505,2.3143,0.0726
0,60,512,41.0000,509.9548,1.0624,56.0493
1,60,512,41.0000,534.6273,1.1138,53.9233
2,60,512,41.0000,1157.7865,2.4121,0.0878
3,60,512,41.0000,1157.9420,2.4124,0.0741
0,60,512,42.0000,530.4738,1.1052,55.3553
1,60,512,42.0000,551.3343,1.1486,53.6003
2,60,512,42.0000,1185.4859,2.4698,0.1151
3,60,512,42.0000,1185.8934,2.4706,0.0805
0,60,512,43.0000,480.2007,1.0004,59.8440
1,60,512,43.0000,634.5213,1.3219,46.9426
2,60,512,43.0000,1192.9783,2.4854,0.1169
3,60,512,43.0000,1193.1471,2.4857,0.1011
0,60,1024,1.0000,14.4359,0.0301,0.0000
1,60,1024,1.0000,14.4359,0.0301,0.0000
2,60,1024,1.0000,14.4363,0.0301,0.0000
3,60,1024,1.0000,14.4363,0.0301,0.0000
0,60,1024,2.0000,28.8717,0.0601,0.0000
1,60,1024,2.0000,28.8717,0.0601,0.0000
2,60,1024,2.0000,28.8720,0.0601,0.0000
3,60,1024,2.0000,28.8720,0.0601,0.0000
0,60,1024,3.0000,43.3070,0.0902,0.0000
1,60,1024,3.0000,43.3075,0.0902,0.0000
2,60,1024,3.0000,43.3084,0.0902,0.0000
3,60,1024,3.0000,43.3079,0.0902,0.0000
0,60,1024,4.0000,57.7434,0.1203,0.0000
1,60,1024,4.0000,57.7434,0.1203,0.0000
2,60,1024,4.0000,57.7427,0.1203,0.0000
3,60,1024,4.0000,57.7427,0.1203,0.0000
0,60,1024,5.0000,70.9735,0.1479,0.0000
1,60,1024,5.0000,70.9735,0.1479,0.0000
2,60,1024,5.0000,70.9738,0.1479,0.0000
3,60,1024,5.0000,70.9733,0.1479,0.0000
0,60,1024,6.0000,86.6145,0.1804,0.0000
1,60,1024,6.0000,86.6140,0.1804,0.0000
2,60,1024,6.0000,86.6149,0.1804,0.0000
3,60,1024,6.0000,86.6144,0.1804,0.0000
0,60,1024,7.0000,101.0463,0.2105,0.0000
1,60,1024,7.0000,101.0483,0.2105,0.0000
2,60,1024,7.0000,101.0483,0.2105,0.0000
3,60,1024,7.0000,101.0488,0.2105,0.0000
0,60,1024,8.0000,113.5550,0.2366,0.0000
1,60,1024,8.0000,113.5555,0.2366,0.0000
2,60,1024,8.0000,113.5558,0.2366,0.0000
3,60,1024,8.0000,113.5558,0.2366,0.0000
0,60,1024,9.0000,129.9175,0.2707,0.0000
1,60,1024,9.0000,129.9175,0.2707,0.0000
2,60,1024,9.0000,129.9178,0.2707,0.0000
3,60,1024,9.0000,129.9178,0.2707,0.0000
0,60,1024,10.0000,144.3548,0.3007,0.0000
1,60,1024,10.0000,144.3559,0.3007,0.0000
2,60,1024,10.0000,144.3568,0.3007,0.0000
3,60,1024,10.0000,144.3532,0.3007,0.0000
0,60,1024,11.0000,156.1349,0.3253,0.0000
1,60,1024,11.0000,156.1365,0.3253,0.0000
2,60,1024,11.0000,156.1373,0.3253,0.0000
3,60,1024,11.0000,156.1378,0.3253,0.0000
0,60,1024,12.0000,173.2122,0.3609,0.0000
1,60,1024,12.0000,173.2137,0.3609,0.0000
2,60,1024,12.0000,173.2146,0.3609,0.0000
3,60,1024,12.0000,173.2146,0.3609,0.0000
0,60,1024,13.0000,187.6342,0.3909,0.0000
1,60,1024,13.0000,187.6337,0.3909,0.0000
2,60,1024,13.0000,187.6439,0.3909,0.0000
3,60,1024,13.0000,187.6418,0.3909,0.0000
0,60,1024,14.0000,198.7103,0.4140,0.0000
1,60,1024,14.0000,198.7103,0.4140,0.0000
2,60,1024,14.0000,198.7117,0.4140,0.0000
3,60,1024,14.0000,198.7117,0.4140,0.0000
0,60,1024,15.0000,216.5095,0.4511,0.0000
1,60,1024,15.0000,216.5089,0.4511,0.0000
2,60,1024,15.0000,216.5067,0.4511,0.0000
3,60,1024,15.0000,216.5098,0.4511,0.0000
0,60,1024,16.0000,230.9479,0.4811,0.0000
1,60,1024,16.0000,230.9468,0.4811,0.0000
2,60,1024,16.0000,230.9487,0.4811,0.0000
3,60,1024,16.0000,230.9492,0.4811,0.0000
