port,duration,pkt_size,rate,mbps,mpps,loss
2,60,512,9.0000,2158.2723,0.5311,0.0058
3,60,512,9.0000,2158.3895,0.5311,0.0000
0,60,512,10.0000,2398.1366,0.5901,0.0058
1,60,512,10.0000,2398.2805,0.5901,0.0000
2,60,512,10.0000,2398.1461,0.5901,0.0059
3,60,512,10.0000,2398.2425,0.5901,0.0017
0,60,512,11.0000,2594.1345,0.6383,0.0061
1,60,512,11.0000,2594.2876,0.6384,0.0029
2,60,512,11.0000,2594.3058,0.6384,0.0023
3,60,512,11.0000,2594.3627,0.6384,0.0000
0,60,512,12.0000,2878.1575,0.7082,0.0000
1,60,512,12.0000,2878.0880,0.7082,0.0024
2,60,512,12.0000,2878.0686,0.7082,0.0032
3,60,512,12.0000,2877.9610,0.7082,0.0068
0,60,512,13.0000,3117.0963,0.7670,0.0147
1,60,512,13.0000,3117.0509,0.7670,0.0170
2,60,512,13.0000,3117.0927,0.7670,0.0167
3,60,512,13.0000,3117.5326,0.7671,0.0029
0,60,512,14.0000,3301.6976,0.8124,0.0051
1,60,512,14.0000,3301.5026,0.8124,0.0119
2,60,512,14.0000,3301.7543,0.8124,0.0047
3,60,512,14.0000,3301.8629,0.8125,0.0000
0,60,512,15.0000,3596.9941,0.8851,0.0133
1,60,512,15.0000,3597.4397,0.8852,0.0022
2,60,512,15.0000,3596.7941,0.8850,0.0206
3,60,512,15.0000,3597.3876,0.8852,0.0040
0,60,512,16.0000,3837.3082,0.9442,0.0043
1,60,512,16.0000,3837.0227,0.9441,0.0117
2,60,512,16.0000,3836.6936,0.9441,0.0208
3,60,512,16.0000,3837.4915,0.9443,0.0000
0,60,512,17.0000,4008.1570,0.9863,0.0182
1,60,512,17.0000,4007.7542,0.9862,0.0282
2,60,512,17.0000,4008.8382,0.9864,0.0013
3,60,512,17.0000,4008.8812,0.9864,0.0002
0,60,512,18.0000,4315.8552,1.0620,0.0155
1,60,512,18.0000,4315.2787,1.0618,0.0286
2,60,512,18.0000,4316.2500,1.0621,0.0066
3,60,512,18.0000,4316.0810,1.0620,0.0104
0,60,512,19.0000,4556.5871,1.1212,0.0117
1,60,512,19.0000,4555.8285,1.1210,0.0297
2,60,512,19.0000,4557.0555,1.1213,0.0043
3,60,512,19.0000,4557.1509,1.1213,0.0012
0,60,512,20.0000,4713.5941,1.1598,0.0246
1,60,512,20.0000,4714.1793,1.1600,0.0188
2,60,512,20.0000,4715.1376,1.1602,0.0061
3,60,512,20.0000,4714.9990,1.1602,0.0018
0,60,512,21.0000,5034.6782,1.2388,0.0275
1,60,512,21.0000,5032.6406,1.2383,0.0686
2,60,512,21.0000,5035.9963,1.2392,0.0092
3,60,512,21.0000,5032.9664,1.2384,0.0000
0,60,512,22.0000,5273.5016,1.2976,0.0349
1,60,512,22.0000,5269.7573,1.2967,0.1071
2,60,512,22.0000,5275.3063,1.2981,0.0123
3,60,512,22.0000,5271.7389,1.2972,0.0000
0,60,512,23.0000,5417.2987,1.3330,0.0603
1,60,512,23.0000,5420.2532,1.3337,0.0117
2,60,512,23.0000,5422.6897,1.3343,0.0026
3,60,512,23.0000,5416.2775,1.3327,0.0234
0,60,512,24.0000,5746.8677,1.4141,0.0557
1,60,512,24.0000,5747.1939,1.4142,0.0524
2,60,512,24.0000,5753.0246,1.4156,0.0295
